year,show,character_name
2007,"C.S.I.: Crime Scene Investigation",catherine
2007,"C.S.I.: Crime Scene Investigation",warrick
2008,"C.S.I.: Crime Scene Investigation",grissom
2008,"C.S.I.: Crime Scene Investigation",catherine
2008,"C.S.I.: Crime Scene Investigation",warrick
2009,"C.S.I.: Crime Scene Investigation",grissom
2009,"C.S.I.: Crime Scene Investigation",catherine
2009,"C.S.I.: Crime Scene Investigation",warrick
2010,"C.S.I.: Crime Scene Investigation",grissom
2010,"C.S.I.: Crime Scene Investigation",catherine
2010,"C.S.I.: Crime Scene Investigation",warrick
2011,"C.S.I.: Crime Scene Investigation",grissom
2011,"C.S.I.: Crime Scene Investigation",catherine
2011,"C.S.I.: Crime Scene Investigation",warrick
2012,"C.S.I.: Crime Scene Investigation",grissom
2012,"C.S.I.: Crime Scene Investigation",catherine
2012,"C.S.I.: Crime Scene Investigation",warrick
2013,"C.S.I.: Crime Scene Investigation",grissom
2013,"C.S.I.: Crime Scene Investigation",catherine
2013,"C.S.I.: Crime Scene Investigation",warrick
2014,"C.S.I.: Crime Scene Investigation",grissom
2014,"C.S.I.: Crime Scene Investigation",catherine
2014,"C.S.I.: Crime Scene Investigation",warrick
2015,"C.S.I.: Crime Scene Investigation",grissom
2015,"C.S.I.: Crime Scene Investigation",catherine
2015,"C.S.I.: Crime Scene Investigation",warrick

2016,"Supernatural (2005)",sam
2016,"Supernatural (2005)",dean
2016,"Supernatural (2005)",castiel
2017,"Supernatural (2005)",sam
2017,"Supernatural (2005)",dean
2017,"Supernatural (2005)",castiel
2018,"Supernatural (2005)",sam
2018,"Supernatural (2005)",dean
2018,"Supernatural (2005)",castiel
2019,"Supernatural (2005)",sam
2019,"Supernatural (2005)",dean
2019,"Supernatural (2005)",castiel
2020,"Supernatural (2005)",sam
2020,"Supernatural (2005)",dean
2020,"Supernatural (2005)",castiel

2021,"NCIS: Los Angeles",callen
2021,"NCIS: Los Angeles",sam
2021,"NCIS: Los Angeles",kensi
2022,"NCIS: Los Angeles",callen
2022,"NCIS: Los Angeles",sam
2022,"NCIS: Los Angeles",kensi
2023,"NCIS: Los Angeles",callen
2023,"NCIS: Los Angeles",sam
2023,"NCIS: Los Angeles",kensi

2024,"Blue Bloods",frank
2024,"Blue Bloods",danny
2024,"Blue Bloods",jamie

2025,"S.W.A.T. (2017)",hondo
2025,"S.W.A.T. (2017)",street
2025,"S.W.A.T. (2017)",cortez
